Time,I_dir,I_dif,m_dot,T_amb,T_in,T_out
0,751.28,117.78,0.89,28.77
1,751.28,117.78,0.89,28.77,61.39,61.17
2,751.28,117.79,0.89,28.77,61.40,61.16
3,751.28,117.79,0.89,28.77,61.40,61.16
4,751.29,117.79,0.89,28.77,61.40,61.17
5,751.28,117.80,0.89,28.77,61.41,61.19
6,751.27,117.80,0.89,28.78,61.41,61.18
7,751.26,117.80,0.89,28.78,61.42,61.18
8,751.25,117.81,0.89,28.79,61.42,61.19
9,751.25,117.81,0.89,28.79,61.42,61.19
10,751.25,117.81,0.89,28.80,61.42,61.20
11,751.24,117.81,0.89,28.82,61.43,61.21
12,751.23,117.82,0.89,28.82,61.43,61.22
13,751.22,117.82,0.89,28.83,61.43,61.21
14,751.21,117.82,0.89,28.83,61.44,61.22
15,751.20,117.83,0.89,28.83,61.44,61.23
16,751.20,117.83,0.89,28.83,61.44,61.23
17,751.19,117.83,0.89,28.83,61.44,61.24
18,751.19,117.84,0.89,28.85,61.45,61.25
19,751.19,117.84,0.89,28.85,61.46,61.24
20,751.20,117.84,0.89,28.87,61.46,61.26
21,751.21,117.84,0.89,28.87,61.47,61.26
22,751.22,117.85,0.89,28.88,61.47,61.27
23,751.23,117.85,0.89,28.88,61.47,61.27
24,751.24,117.85,0.89,28.89,61.47,61.27
25,751.25,117.86,0.89,28.89,61.47,61.27
26,751.25,117.86,0.89,28.89,61.48,61.27
27,751.26,117.86,0.89,28.88,61.49,61.28
28,751.26,117.86,0.89,28.88,61.49,61.29
29,751.26,117.87,0.89,28.88,61.49,61.28
30,751.26,117.87,0.89,28.88,61.50,61.28
31,751.27,117.87,0.89,28.88,61.50,61.30
32,751.29,117.87,0.89,28.86,61.50,61.30
33,751.30,117.88,0.89,28.86,61.51,61.29
34,751.33,117.88,0.89,28.86,61.51,61.30
35,751.35,117.88,0.89,28.86,61.52,61.30
36,751.37,117.88,0.89,28.86,61.51,61.30
37,751.39,117.89,0.89,28.86,61.52,61.31
38,751.42,117.89,0.89,28.85,61.53,61.30
39,751.44,117.89,0.89,28.85,61.53,61.30
40,751.46,117.90,0.89,28.85,61.53,61.30
41,751.48,117.90,0.89,28.84,61.53,61.32
42,751.50,117.90,0.89,28.84,61.53,61.33
43,751.53,117.90,0.89,28.83,61.54,61.34
44,751.55,117.91,0.89,28.82,61.54,61.33
45,751.57,117.91,0.89,28.80,61.54,61.33
46,751.59,117.91,0.89,28.80,61.54,61.33
47,751.60,117.91,0.89,28.79,61.55,61.33
48,751.62,117.92,0.89,28.79,61.54,61.34
49,751.64,117.92,0.89,28.79,61.53,61.35
50,751.66,117.92,0.89,28.79,61.51,61.37
51,751.68,117.92,0.89,28.78,61.48,61.37
52,751.69,117.93,0.89,28.79,61.45,61.40
53,751.70,117.93,0.89,28.79,61.41,61.42
54,751.72,117.93,0.89,28.78,61.36,61.44
55,751.73,117.93,0.89,28.77,61.36,61.44
56,751.74,117.94,0.89,28.77,61.31,61.47
57,751.75,117.94,0.89,28.77,61.25,61.49
58,751.77,117.94,0.89,28.76,61.19,61.51
59,751.78,117.94,0.89,28.77,61.15,61.54
60,751.79,117.95,0.89,28.75,61.09,61.56
61,751.80,117.95,0.89,28.75,61.05,61.59
62,751.81,117.95,0.89,28.74,60.99,61.62
63,751.82,117.95,0.89,28.74,60.99,61.62
64,751.82,117.96,0.89,28.74,60.95,61.64
65,751.83,117.96,0.89,28.74,60.91,61.66
66,751.84,117.96,0.89,28.73,60.86,61.68
67,751.85,117.96,0.89,28.73,60.83,61.69
68,751.86,117.97,0.89,28.72,60.80,61.72
69,751.88,117.97,0.89,28.72,60.78,61.74
70,751.89,117.97,0.89,28.71,60.78,61.77
71,751.90,117.97,0.89,28.71,60.75,61.77
72,751.90,117.98,0.89,28.71,60.71,61.78
73,751.91,117.98,0.89,28.70,60.69,61.80
74,751.91,117.98,0.89,28.69,60.67,61.80
75,751.92,117.98,0.89,28.68,60.66,61.84
76,751.92,117.99,0.89,28.67,60.64,61.85
77,751.93,117.99,0.89,28.67,60.62,61.86
78,751.93,117.99,0.89,28.66,60.62,61.88
79,751.93,117.99,0.89,28.66,60.62,61.88
80,751.95,118.00,0.89,28.65,60.61,61.90
81,751.96,118.00,0.89,28.62,60.60,61.91
82,751.97,118.00,0.89,28.61,60.60,61.92
83,751.98,118.00,0.89,28.60,60.60,61.93
84,751.98,118.01,0.89,28.59,60.58,61.97
85,752.00,118.01,0.89,28.56,60.59,61.96
86,752.01,118.01,0.89,28.55,60.59,61.96
87,752.02,118.01,0.89,28.55,60.59,61.99
88,752.04,118.02,0.89,28.55,60.59,61.99
89,752.05,118.02,0.89,28.55,60.60,62.02
90,752.06,118.02,0.89,28.55,60.60,62.04
91,752.08,118.02,0.89,28.55,60.60,62.06
92,752.09,118.03,0.89,28.56,60.62,62.08
93,752.11,118.03,0.89,28.56,60.62,62.07
94,752.12,118.03,0.89,28.55,60.63,62.07
95,752.13,118.03,0.89,28.55,60.64,62.09
96,752.15,118.04,0.89,28.54,60.66,62.10
97,752.16,118.04,0.89,28.53,60.67,62.12
98,752.17,118.04,0.89,28.51,60.68,62.12
99,752.19,118.04,0.89,28.49,60.69,62.14
100,752.21,118.05,0.89,28.48,60.72,62.14
101,752.23,118.05,0.89,28.47,60.72,62.17
102,752.25,118.05,0.89,28.47,60.73,62.17
103,752.27,118.05,0.89,28.46,60.75,62.16
104,752.30,118.05,0.89,28.48,60.77,62.18
105,752.32,118.06,0.89,28.50,60.79,62.19
106,752.34,118.06,0.89,28.52,60.81,62.21
107,752.36,118.06,0.89,28.54,60.84,62.22
108,752.38,118.06,0.89,28.54,60.86,62.24
109,752.41,118.06,0.89,28.56,60.86,62.24
110,752.43,118.07,0.89,28.56,60.88,62.25
111,752.45,118.07,0.89,28.57,60.90,62.27
112,752.47,118.07,0.89,28.59,60.92,62.28
113,752.49,118.07,0.89,28.62,60.95,62.28
114,752.49,118.08,0.89,28.63,60.97,62.30
115,752.49,118.08,0.89,28.64,61.00,62.29
116,752.49,118.08,0.89,28.65,61.02,62.30
117,752.48,118.08,0.89,28.65,61.02,62.30
118,752.47,118.09,0.89,28.67,61.05,62.31
119,752.47,118.09,0.89,28.67,61.07,62.32
120,752.46,118.09,0.89,28.68,61.10,62.32
121,752.46,118.09,0.89,28.69,61.12,62.33
122,752.46,118.09,0.89,28.70,61.14,62.33
123,752.46,118.10,0.89,28.69,61.16,62.34
124,752.46,118.10,0.89,28.69,61.17,62.34
125,752.46,118.10,0.89,28.71,61.17,62.34
126,752.47,118.10,0.89,28.71,61.17,62.35
127,752.47,118.11,0.89,28.71,61.16,62.37
128,752.48,118.11,0.89,28.71,61.13,62.37
129,752.49,118.11,1.21,28.72,61.10,62.40
130,752.50,118.11,13.73,28.74,61.05,62.43
131,752.51,118.12,15.81,28.74,60.99,62.46
132,752.52,118.12,17.39,28.74,60.91,62.49
133,752.53,118.12,18.30,28.74,60.91,62.49
134,752.54,118.12,18.87,28.74,60.81,62.51
135,752.55,118.13,18.87,28.75,60.68,62.53
136,752.56,118.13,19.52,28.75,60.54,62.53
137,752.56,118.13,19.93,28.74,60.35,62.53
138,752.56,118.13,20.37,28.73,60.17,62.52
139,752.56,118.14,20.80,28.73,59.96,62.48
140,752.56,118.14,21.30,28.73,59.96,62.45
141,752.56,118.14,21.78,28.73,59.76,62.45
142,752.56,118.15,21.69,28.73,59.51,62.37
143,752.56,118.15,21.59,28.73,59.28,62.30
144,752.56,118.15,21.59,28.74,59.04,62.19
145,752.55,118.15,21.72,28.76,58.78,62.06
146,752.54,118.16,21.87,28.76,58.53,61.91
147,752.53,118.16,22.25,28.77,58.25,61.73
148,752.51,118.16,22.67,28.79,58.25,61.73
149,752.50,118.17,22.89,28.79,57.96,61.55
150,752.49,118.17,23.02,28.79,57.69,61.33
151,752.48,118.17,23.02,28.79,57.40,61.08
152,752.48,118.17,23.17,28.80,57.12,60.83
153,752.48,118.18,23.49,28.81,56.84,60.58
154,752.48,118.18,23.80,28.82,56.54,60.32
155,752.48,118.18,24.15,28.83,56.24,60.04
156,752.48,118.19,24.80,28.84,56.24,60.04
157,752.49,118.19,25.58,28.84,55.93,59.74
158,752.49,118.19,26.55,28.85,55.61,59.43
159,752.50,118.19,26.55,28.85,55.29,59.13
160,752.51,118.20,27.82,28.86,54.94,58.81
161,752.51,118.20,28.75,28.87,54.63,58.49
162,752.52,118.20,29.42,28.88,54.30,58.17
163,752.53,118.21,30.29,28.88,54.30,57.85
164,752.54,118.21,32.14,28.88,53.98,57.85
165,752.55,118.21,34.31,28.88,53.65,57.52
166,752.55,118.21,36.98,28.89,53.33,57.20
167,752.56,118.22,39.83,28.90,53.02,56.87
168,752.56,118.22,39.83,28.90,52.70,56.55
169,752.57,118.22,42.63,28.91,52.38,56.22
170,752.58,118.23,45.00,28.90,52.07,55.88
171,752.59,118.23,46.34,28.90,52.07,55.88
172,752.59,118.23,46.32,28.90,51.74,55.53
173,752.59,118.24,45.80,28.90,51.43,55.22
174,752.60,118.24,45.11,28.89,51.12,54.91
175,752.61,118.24,45.11,28.89,50.82,54.57
176,752.61,118.24,43.04,28.89,50.52,54.26
177,752.61,118.25,43.04,28.89,50.22,53.94
178,752.61,118.25,42.30,28.89,49.92,53.63
179,752.61,118.25,41.54,28.89,49.92,53.63
180,752.62,118.26,40.93,28.89,49.62,53.32
181,752.62,118.26,40.93,28.88,49.32,53.00
182,752.62,118.26,41.22,28.87,49.02,52.69
183,752.62,118.27,41.22,28.88,48.69,52.35
184,752.63,118.27,41.85,28.87,48.40,52.02
185,752.63,118.27,42.39,28.87,48.08,51.71
186,752.64,118.28,42.63,28.86,47.78,51.40
187,752.65,118.28,42.33,28.84,47.78,51.40
188,752.66,118.28,41.48,28.84,47.49,51.07
189,752.66,118.28,40.48,28.84,47.18,50.75
190,752.66,118.29,40.48,28.83,46.88,50.44
191,752.67,118.29,39.26,28.82,46.58,50.13
192,752.67,118.29,37.79,28.82,46.28,49.81
193,752.68,118.30,36.14,28.82,45.98,49.48
194,752.67,118.30,33.91,28.82,45.67,49.16
195,752.66,118.30,32.73,28.79,45.67,49.16
196,752.65,118.30,31.95,28.79,45.36,48.83
197,752.64,118.31,31.56,28.78,45.05,48.52
198,752.64,118.31,31.56,28.77,44.76,48.21
199,752.63,118.31,31.41,28.76,44.46,47.91
200,752.63,118.32,31.36,28.75,44.15,47.58
201,752.63,118.32,31.40,28.75,43.86,47.28
202,752.63,118.32,31.53,28.74,43.57,46.98
203,752.63,118.33,31.75,28.73,43.57,46.98
204,752.63,118.33,32.12,28.73,43.28,46.66
205,752.63,118.33,32.12,28.73,42.98,46.36
206,752.62,118.33,33.25,28.73,42.68,46.03
207,752.61,118.34,33.25,28.73,42.39,45.75
208,752.60,118.34,33.60,28.73,42.10,45.47
209,752.59,118.34,33.81,28.73,41.82,45.16
210,752.57,118.34,33.78,28.74,41.82,44.88
211,752.56,118.35,33.46,28.74,41.54,44.88
212,752.55,118.35,33.12,28.74,41.27,44.60
213,752.55,118.35,32.73,28.72,41.00,44.33
214,752.56,118.36,32.73,28.73,40.72,44.04
215,752.55,118.36,32.42,28.72,40.47,43.77
216,752.55,118.36,32.31,28.72,40.21,43.50
217,752.55,118.36,32.29,28.71,39.94,43.22
218,752.55,118.37,32.34,28.71,39.94,43.22
219,752.55,118.37,32.38,28.71,39.69,42.95
220,752.55,118.37,32.36,28.71,39.45,42.69
221,752.56,118.37,32.36,28.71,39.21,42.42
222,752.56,118.38,32.25,28.72,38.98,42.18
223,752.56,118.38,32.25,28.72,38.75,41.92
224,752.57,118.38,32.23,28.73,38.52,41.67
225,752.57,118.38,32.20,28.73,38.30,41.42
226,752.57,118.39,32.16,28.72,38.30,41.42
227,752.57,118.39,32.14,28.72,38.08,41.19
228,752.58,118.39,32.14,28.73,37.87,40.94
229,752.58,118.39,32.12,28.73,37.65,40.70
230,752.59,118.40,32.12,28.74,37.44,40.46
231,752.59,118.40,32.16,28.74,37.25,40.25
232,752.58,118.40,32.20,28.74,37.05,40.03
233,752.58,118.40,32.27,28.75,37.05,39.80
234,752.57,118.41,32.36,28.75,36.86,39.80
235,752.57,118.41,32.40,28.75,36.68,39.60
236,752.57,118.41,32.44,28.77,36.50,39.38
237,752.56,118.41,32.44,28.77,36.33,39.17
238,752.56,118.41,32.47,28.77,36.16,38.97
239,752.55,118.42,32.47,28.78,35.99,38.77
240,752.55,118.42,32.34,28.77,35.82,38.57
241,752.54,118.42,32.12,28.76,35.82,38.57
242,752.53,118.42,31.88,28.76,35.67,38.38
243,752.52,118.43,31.62,28.76,35.52,38.19
244,752.52,118.43,31.62,28.75,35.37,38.02
245,752.52,118.43,31.25,28.74,35.22,37.83
246,752.51,118.43,31.25,28.74,35.08,37.66
247,752.51,118.44,31.18,28.73,34.95,37.48
248,752.51,118.44,31.18,28.73,34.81,37.33
249,752.51,118.44,31.21,28.72,34.81,37.33
250,752.51,118.45,31.27,28.74,34.68,37.15
251,752.50,118.45,31.27,28.74,34.56,36.99
252,752.50,118.45,31.47,28.74,34.43,36.84
253,752.49,118.45,31.47,28.73,34.32,36.68
254,752.48,118.46,31.49,28.74,34.20,36.52
255,752.48,118.46,31.49,28.73,34.09,36.38
256,752.47,118.46,31.47,28.72,33.98,36.24
257,752.46,118.46,31.45,28.72,33.98,36.24
258,752.45,118.47,31.45,28.72,33.87,36.09
259,752.44,118.47,31.51,28.71,33.77,35.96
260,752.43,118.47,31.51,28.71,33.66,35.82
261,752.42,118.47,31.59,28.70,33.55,35.68
262,752.40,118.48,31.59,28.70,33.46,35.55
263,752.39,118.48,31.68,28.71,33.36,35.42
264,752.37,118.48,31.71,28.70,33.27,35.30
265,752.36,118.48,31.68,28.71,33.27,35.30
266,752.35,118.49,31.64,28.71,33.18,35.18
267,752.34,118.49,31.64,28.71,33.09,35.04
268,752.33,118.49,31.56,28.72,33.00,34.94
269,752.32,118.50,31.56,28.72,32.92,34.82
270,752.31,118.50,31.57,28.73,32.84,34.71
271,752.30,118.50,31.57,28.73,32.76,34.61
272,752.28,118.50,31.62,28.72,32.76,34.50
273,752.27,118.51,31.61,28.72,32.67,34.50
274,752.27,118.51,31.61,28.72,32.60,34.39
275,752.26,118.51,31.60,28.72,32.52,34.28
276,752.25,118.51,31.60,28.73,32.44,34.18
277,752.23,118.52,31.60,28.74,32.37,34.08
278,752.22,118.52,31.60,28.75,32.30,33.98
279,752.21,118.52,31.60,28.75,32.23,33.88
280,752.19,118.52,31.62,28.75,32.23,33.79
281,752.18,118.53,31.66,28.75,32.16,33.79
282,752.17,118.53,31.71,28.76,32.09,33.70
283,752.16,118.53,31.71,28.77,32.03,33.60
284,752.15,118.54,31.75,28.76,31.96,33.51
285,752.14,118.54,31.75,28.76,31.90,33.44
286,752.13,118.54,31.75,28.77,31.83,33.34
287,752.12,118.54,31.73,28.78,31.77,33.25
288,752.11,118.55,31.68,28.79,31.77,33.25
289,752.11,118.55,31.66,28.79,31.70,33.16
290,752.10,118.55,31.66,28.81,31.65,33.08
291,752.09,118.56,31.66,28.81,31.58,33.00
292,752.08,118.56,31.66,28.83,31.52,32.92
293,752.07,118.56,31.64,28.84,31.46,32.83
294,752.06,118.56,31.61,28.84,31.40,32.77
295,752.05,118.57,31.57,28.84,31.35,32.69
296,752.04,118.57,31.55,28.83,31.35,32.69
297,752.03,118.57,31.55,28.83,31.29,32.61
298,752.03,118.57,31.58,28.83,31.23,32.54
299,752.02,118.58,31.58,28.83,31.18,32.48
300,752.02,118.58,31.59,28.83,31.12,32.40
301,752.01,118.58,31.62,28.83,31.06,32.32
302,752.00,118.59,31.64,28.84,31.02,32.27
303,752.00,118.59,31.66,28.83,31.02,32.19
304,752.00,118.59,31.70,28.84,30.97,32.19
305,752.00,118.59,31.73,28.84,30.91,32.12
306,751.99,118.60,31.73,28.84,30.86,32.06
307,751.99,118.60,31.72,28.85,30.81,31.99
308,751.98,118.60,31.72,28.85,30.75,31.94
309,751.98,118.61,31.73,28.85,30.70,31.86
310,751.98,118.61,31.73,28.85,30.66,31.79
311,751.98,118.61,31.75,28.85,30.66,31.79
312,751.98,118.61,31.72,28.85,30.59,31.73
313,751.98,118.62,31.72,28.86,30.55,31.66
314,751.97,118.62,31.73,28.86,30.50,31.61
315,751.97,118.62,31.73,28.87,30.46,31.55
316,751.96,118.63,31.75,28.86,30.41,31.49
317,751.96,118.63,31.75,28.87,30.37,31.43
318,751.95,118.63,31.75,28.86,30.32,31.37
319,751.95,118.63,31.73,28.86,30.32,31.32
320,751.94,118.64,31.68,28.86,30.27,31.32
321,751.94,118.64,31.68,28.86,30.23,31.25
322,751.93,118.64,31.68,28.86,30.19,31.21
323,751.92,118.64,31.71,28.86,30.14,31.15
324,751.91,118.65,31.75,28.86,30.09,31.10
325,751.91,118.65,31.81,28.86,30.05,31.05
326,751.92,118.65,31.86,28.86,30.01,31.00
327,751.92,118.66,31.88,28.87,30.01,31.00
328,751.92,118.66,31.88,28.87,29.97,30.95
329,751.92,118.66,31.88,28.87,29.93,30.89
330,751.92,118.67,31.86,28.87,29.89,30.83
331,751.92,118.67,31.86,28.88,29.85,30.79
332,751.92,118.67,31.86,28.88,29.81,30.74
333,751.92,118.67,31.86,28.89,29.76,30.69
334,751.92,118.68,31.88,28.88,29.73,30.64
335,751.91,118.68,31.90,28.87,29.73,30.64
336,751.91,118.68,31.92,28.87,29.69,30.59
337,751.91,118.68,31.92,28.87,29.66,30.55
338,751.91,118.69,31.92,28.86,29.62,30.50
339,751.91,118.69,31.88,28.87,29.58,30.45
340,751.91,118.69,31.88,28.91,29.55,30.41
341,751.91,118.70,31.86,28.94,29.51,30.37
342,751.91,118.70,31.86,28.96,29.48,30.33
343,751.92,118.70,31.86,28.96,29.48,30.33
344,751.92,118.71,31.88,28.97,29.44,30.29
345,751.92,118.71,31.90,29.00,29.41,30.24
346,751.92,118.71,31.90,29.01,29.37,30.20
347,751.93,118.71,31.88,29.01,29.34,30.16
348,751.93,118.72,31.86,29.04,29.31,30.11
349,751.92,118.72,31.83,29.06,29.27,30.08
350,751.92,118.72,31.77,29.08,29.27,30.03
351,751.92,118.73,31.79,29.08,29.24,30.03
352,751.91,118.73,31.79,29.10,29.22,30.01
353,751.91,118.73,31.84,29.15,29.19,29.97
354,751.90,118.74,31.84,29.19,29.16,29.93
355,751.89,118.74,31.86,29.23,29.13,29.89
356,751.89,118.74,31.90,29.26,29.10,29.86
357,751.88,118.75,31.90,29.28,29.07,29.81
358,751.88,118.75,31.92,29.29,29.07,29.81
359,751.87,118.75,31.94,29.29,29.04,29.78
360,751.87,118.76,31.94,29.29,29.02,29.75
361,751.86,118.76,32.01,29.30,28.99,29.71
362,751.86,118.76,32.01,29.29,28.96,29.68
363,751.85,118.77,32.01,29.27,28.93,29.67
364,751.84,118.77,32.01,29.25,28.92,29.62
365,751.83,118.77,32.01,29.24,28.92,29.58
366,751.82,118.78,31.96,29.22,28.89,29.58
367,751.82,118.78,31.90,29.22,28.87,29.55
368,751.81,118.78,31.88,29.19,28.84,29.53
369,751.81,118.79,31.88,29.18,28.81,29.49
370,751.81,118.79,31.90,29.19,28.80,29.47
371,751.81,118.79,31.90,29.21,28.78,29.44
372,751.80,118.80,31.92,29.24,28.76,29.40
373,751.80,118.80,31.95,29.27,28.73,29.39
374,751.80,118.81,31.99,29.27,28.73,29.39
375,751.80,118.81,31.99,29.29,28.70,29.35
376,751.80,118.81,31.99,29.30,28.69,29.33
377,751.80,118.82,32.03,29.31,28.67,29.30
378,751.80,118.82,32.03,29.31,28.65,29.28
379,751.79,118.82,32.09,29.31,28.62,29.26
380,751.78,118.83,32.09,29.31,28.61,29.23
381,751.78,118.83,32.12,29.30,28.61,29.23
382,751.77,118.83,32.12,29.29,28.59,29.20
383,751.76,118.84,32.12,29.29,28.56,29.18
384,751.75,118.84,32.12,29.28,28.56,29.16
385,751.74,118.85,32.12,29.25,28.53,29.13
386,751.73,118.85,32.16,29.24,28.52,29.11
387,751.71,118.85,32.18,29.23,28.49,29.08
388,751.70,118.86,32.18,29.21,28.48,29.06
389,751.69,118.86,32.16,29.18,28.48,29.06
390,751.68,118.86,32.16,29.18,28.46,29.05
391,751.66,118.87,32.16,29.17,28.45,29.02
392,751.65,118.87,32.16,29.14,28.43,28.99
393,751.63,118.88,32.16,29.13,28.42,28.98
394,751.62,118.88,32.16,29.12,28.40,28.96
395,751.61,118.88,32.18,29.10,28.39,28.93
396,751.60,118.89,32.21,29.09,28.37,28.92
397,751.59,118.89,32.23,29.07,28.37,28.92
398,751.57,118.90,32.25,29.07,28.35,28.89
399,751.56,118.90,32.25,29.05,28.34,28.89
400,751.55,118.91,32.25,29.04,28.32,28.86
401,751.53,118.91,32.25,29.03,28.32,28.84
402,751.52,118.91,32.24,29.02,28.30,28.83
403,751.51,118.92,32.22,29.00,28.29,28.81
404,751.50,118.92,32.20,28.99,28.28,28.80
405,751.50,118.93,32.20,28.99,28.28,28.80
406,751.49,118.93,32.20,28.99,28.28,28.78
407,751.49,118.93,32.20,28.99,28.26,28.75
408,751.48,118.94,32.20,28.99,28.25,28.75
409,751.47,118.94,32.23,29.00,28.24,28.73
410,751.47,118.95,32.27,29.03,28.23,28.72
411,751.47,118.95,32.29,29.02,28.22,28.70
412,751.46,118.95,32.29,29.01,28.22,28.68
413,751.45,118.96,32.31,29.01,28.20,28.68
414,751.45,118.96,32.31,29.01,28.20,28.67
415,751.43,118.97,32.31,29.01,28.19,28.66
416,751.42,118.97,32.29,29.02,28.17,28.65
417,751.41,118.97,32.25,29.02,28.18,28.64
418,751.40,118.98,32.23,29.02,28.17,28.62
419,751.39,118.98,32.20,29.02,28.16,28.62
420,751.37,118.99,32.18,29.01,28.16,28.61
421,751.36,118.99,32.20,29.01,28.15,28.61
422,751.34,118.99,32.23,29.00,28.14,28.60
423,751.33,119.00,32.23,29.00,28.13,28.59
424,751.31,119.00,32.31,28.99,28.12,28.58
425,751.30,119.01,32.31,28.98,28.11,28.56
426,751.29,119.01,32.29,28.97,28.12,28.54
427,751.28,119.01,32.27,28.95,28.10,28.56
428,751.27,119.02,32.25,28.93,28.10,28.56
429,751.26,119.02,32.23,28.93,28.10,28.53
430,751.25,119.03,32.22,28.92,28.10,28.53
431,751.24,119.03,32.25,28.91,28.09,28.52
432,751.24,119.03,32.25,28.90,28.08,28.53
433,751.22,119.04,32.27,28.88,28.08,28.50
434,751.22,119.04,32.29,28.86,28.08,28.49
435,751.21,119.04,32.31,28.86,28.08,28.48
436,751.20,119.05,32.33,28.85,28.08,28.48
437,751.19,119.05,32.33,28.85,28.07,28.47
438,751.18,119.06,32.33,28.84,28.06,28.47
439,751.17,119.06,32.33,28.84,28.06,28.47
440,751.16,119.07,32.31,28.83,28.06,28.46
441,751.15,119.07,32.31,28.82,28.04,28.45
442,751.14,119.07,32.31,28.82,28.06,28.45
443,751.13,119.08,32.33,28.82,28.05,28.44
444,751.12,119.08,32.36,28.81,28.05,28.44
445,751.11,119.08,32.33,28.81,28.05,28.45
446,751.09,119.09,32.29,28.81,28.04,28.44
447,751.08,119.09,32.29,28.81,28.04,28.42
448,751.07,119.10,32.27,28.80,28.04,28.42
449,751.06,119.10,32.25,28.80,28.03,28.42
450,751.05,119.10,32.25,28.79,28.03,28.41
451,751.04,119.11,32.25,28.78,28.03,28.41
452,751.03,119.11,32.25,28.78,28.03,28.41
453,751.01,119.11,32.25,28.78,28.02,28.40
454,751.00,119.12,32.25,28.78,28.04,28.41
455,750.99,119.12,32.23,28.77,28.03,28.39
456,750.98,119.12,32.23,28.76,28.02,28.40
457,750.97,119.13,32.25,28.77,28.02,28.38
458,750.96,119.13,32.27,28.76,28.02,28.37
459,750.95,119.14,32.29,28.76,28.02,28.37
460,750.94,119.14,32.31,28.76,28.02,28.38
461,750.93,119.14,32.31,28.75,28.02,28.37
462,750.92,119.15,32.31,28.76,28.02,28.38
463,750.90,119.15,32.31,28.75,28.02,28.36
464,750.89,119.15,32.29,28.75,28.02,28.36
465,750.88,119.16,32.29,28.74,28.02,28.36
466,750.86,119.16,32.31,28.75,28.02,28.36
467,750.85,119.16,32.33,28.75,28.02,28.36
468,750.84,119.17,32.36,28.75,28.02,28.36
469,750.83,119.17,32.36,28.75,28.02,28.36
470,750.81,119.17,32.38,28.74,28.02,28.35
471,750.80,119.18,32.38,28.74,28.03,28.35
472,750.79,119.18,32.40,28.74,28.03,28.36
473,750.78,119.18,32.42,28.75,28.03,28.35
474,750.76,119.19,32.46,28.74,28.03,28.35
475,750.75,119.19,32.48,28.76,28.03,28.35
476,750.74,119.19,32.48,28.76,28.03,28.34
477,750.73,119.20,32.48,28.75,28.03,28.34
478,750.71,119.20,32.48,28.76,28.04,28.33
479,750.70,119.20,32.44,28.78,28.04,28.34
480,750.69,119.21,32.42,28.79,28.04,28.35
481,750.68,119.21,32.44,28.79,28.04,28.35
482,750.67,119.21,32.47,28.80,28.04,28.34
483,750.65,119.22,32.52,28.80,28.04,28.34
484,750.64,119.22,32.55,28.79,28.05,28.33
485,750.63,119.22,32.55,28.80,28.05,28.34
486,750.62,119.23,32.57,28.80,28.05,28.32
487,750.61,119.23,32.57,28.80,28.06,28.34
488,750.59,119.23,32.57,28.80,28.05,28.33
489,750.58,119.23,32.57,28.81,28.06,28.34
490,750.57,119.24,32.57,28.82,28.06,28.34
491,750.56,119.24,32.57,28.82,28.06,28.34
492,750.55,119.24,32.57,28.82,28.07,28.35
493,750.54,119.25,32.60,28.82,28.06,28.34
494,750.52,119.25,32.60,28.83,28.07,28.35
495,750.51,119.25,32.66,28.83,28.07,28.35
496,750.50,119.26,32.66,28.83,28.08,28.34
497,750.49,119.26,32.66,28.83,28.08,28.34
498,750.48,119.26,32.64,28.83,28.08,28.34
499,750.47,119.27,32.62,28.83,28.09,28.36
500,750.47,119.27,32.57,28.83,28.08,28.34
501,750.46,119.27,32.57,28.83,28.09,28.35
502,750.45,119.27,32.53,28.83,28.09,28.35
503,750.45,119.28,32.53,28.82,28.10,28.34
504,750.45,119.28,32.51,28.82,28.10,28.35
505,750.45,119.28,32.53,28.80,28.11,28.35
506,750.46,119.29,32.55,28.80,28.11,28.35
507,750.45,119.29,32.57,28.79,28.11,28.36
508,750.45,119.29,32.57,28.79,28.11,28.36
509,750.45,119.29,32.66,28.78,28.11,28.36
510,750.44,119.30,32.66,28.77,28.12,28.35
511,750.44,119.30,32.68,28.76,28.13,28.36
512,750.43,119.30,32.72,28.76,28.13,28.37
513,750.42,119.31,32.77,28.75,28.13,28.36
514,750.41,119.31,32.79,28.73,28.13,28.36
515,750.40,119.31,32.79,28.73,28.14,28.37
516,750.39,119.32,32.79,28.72,28.14,28.37
517,750.38,119.32,32.79,28.71,28.15,28.38
518,750.37,119.32,32.77,28.71,28.15,28.38
519,750.37,119.32,32.68,28.70,28.16,28.40
520,750.36,119.33,32.64,28.70,28.16,28.39
521,750.37,119.33,32.62,28.69,28.16,28.40
522,750.37,119.33,32.62,28.69,28.16,28.40
523,750.37,119.33,32.64,28.68,28.17,28.40
524,750.38,119.34,32.64,28.68,28.17,28.39
525,750.38,119.34,32.68,28.68,28.17,28.40
526,750.37,119.34,32.68,28.68,28.18,28.39
527,750.38,119.34,32.68,28.68,28.18,28.40
528,750.38,119.35,32.66,28.68,28.18,28.40
529,750.38,119.35,32.64,28.70,28.18,28.40
530,750.39,119.35,32.59,28.70,28.20,28.41
531,750.40,119.35,32.59,28.70,28.20,28.41
532,750.40,119.36,32.64,28.70,28.20,28.41
533,750.40,119.36,32.64,28.71,28.20,28.41
534,750.40,119.36,32.66,28.71,28.21,28.41
535,750.41,119.37,32.68,28.71,28.22,28.42
536,750.41,119.37,32.72,28.71,28.22,28.43
